psraid,intmob,pialql1,SmartPhone,pial1,pial2,pial3,pial4,pial5,pial7,age,filter_$
100032,1,1,1,1,1,2,1,2,1,19,1
100044,1,1,1,1,1,2,1,2,2,44,1
100105,1,1,1,1,1,1,1,2,2,26,1
100111,1,1,1,1,1,2,2,2,2,22,1
100148,1,1,1,1,1,1,1,2,2,64,1
100163,1,1,1,1,1,2,2,2,2,63,1
100206,1,1,1,1,2,2,1,1,2,21,1
100247,1,1,1,1,2,2,1,2,2,35,1
100270,1,1,1,1,1,1,1,2,1,58,1
100275,1,1,1,1,1,2,1,2,1,36,1
100288,1,1,1,1,1,1,1,2,2,35,1
100310,1,1,1,1,1,2,2,2,2,31,1
100311,1,1,1,1,1,2,1,2,2,59,1
100358,1,1,1,1,2,2,2,2,2,55,1
100361,1,1,1,2,1,1,2,2,2,65,1
100399,1,1,1,1,1,2,2,2,2,52,1
100403,1,1,1,1,1,2,2,2,2,50,1
100425,1,1,1,1,2,2,1,2,2,32,1
100463,1,1,1,1,2,2,2,2,2,61,1
100470,1,1,1,1,2,1,2,2,1,34,1
100494,1,1,1,1,1,1,1,2,1,30,1
100506,1,1,1,1,1,2,1,2,2,68,1
100550,1,1,1,1,1,1,1,2,2,37,1
100560,1,1,1,1,1,1,1,1,1,21,1
100564,1,1,1,1,1,1,2,2,2,54,1
100568,1,1,1,1,1,2,1,2,2,45,1
100595,1,1,1,1,1,1,1,1,1,18,1
100612,1,1,1,1,1,1,1,2,2,38,1
100627,1,1,1,1,1,2,1,2,2,26,1
100634,1,1,1,1,1,1,1,2,1,42,1
100683,1,1,1,1,1,1,1,2,1,42,1
100715,1,1,1,1,2,2,2,2,2,61,1
100724,1,1,1,1,2,2,2,2,2,40,1
100733,1,1,1,1,2,1,1,2,2,41,1
100753,1,1,1,1,2,2,2,2,1,71,1
100808,1,1,1,1,2,1,2,2,2,40,1
100872,1,1,1,1,1,2,1,2,1,54,1
100900,1,1,1,1,1,2,1,2,2,45,1
100911,1,1,1,1,1,1,1,2,2,99,1
100978,1,1,1,1,2,2,2,2,1,35,1
100995,1,1,1,1,2,2,2,2,2,57,1
101017,1,1,1,1,1,1,1,2,2,30,1
101025,1,1,1,1,1,2,1,2,1,64,1
101034,1,1,1,1,8,2,2,2,2,99,1
101040,1,1,1,1,2,1,2,1,2,65,1
101061,1,1,1,1,2,2,2,2,2,43,1
101071,1,1,1,2,2,1,2,2,2,69,1
101081,1,1,1,1,1,2,2,2,1,56,1
101082,1,1,1,1,1,1,2,2,2,60,1
101111,1,1,1,1,2,2,2,2,2,56,1
101135,1,1,1,1,1,2,2,2,1,37,1
101160,1,1,1,1,1,1,1,2,1,33,1
101200,1,1,1,1,2,1,2,2,2,43,1
101215,1,1,1,1,1,2,1,2,2,47,1
101225,1,1,1,1,1,1,1,2,1,54,1
101267,1,1,1,1,2,2,2,2,2,58,1
101282,1,1,1,1,2,2,2,2,2,84,1
101297,1,1,1,1,1,1,1,2,1,35,1
101373,1,1,1,2,1,2,2,2,1,50,1
101392,1,1,1,1,2,2,2,2,2,63,1
101396,1,1,1,1,1,1,1,2,1,33,1
101459,1,1,1,1,1,1,1,1,2,32,1
101504,1,1,1,1,1,2,1,2,2,36,1
101511,1,1,1,1,1,1,1,2,2,23,1
101572,1,1,1,1,1,2,1,2,1,52,1
101612,1,1,1,1,1,2,2,2,1,76,1
101682,1,1,1,1,2,2,2,2,2,60,1
101709,1,1,1,1,1,2,2,2,2,41,1
101837,1,1,1,1,1,2,2,2,1,54,1
101914,1,1,1,1,2,2,2,2,2,65,1
101948,1,1,1,1,2,9,2,2,1,67,1
101971,1,1,1,1,2,2,2,2,2,66,1
101986,1,1,1,1,1,1,1,2,2,40,1
102142,1,1,1,1,1,2,1,2,2,39,1
102163,1,1,1,1,1,2,2,2,1,67,1
102185,1,1,1,1,2,2,2,2,2,43,1
102204,1,1,1,1,1,1,1,2,1,67,1
102211,1,1,1,1,2,2,2,2,2,74,1
102235,1,1,1,1,2,1,2,2,2,51,1
102261,1,1,1,1,1,2,1,2,2,57,1
102284,1,1,1,1,1,1,1,2,2,40,1
102308,1,1,1,1,1,2,1,1,1,22,1
102345,1,1,1,1,1,2,2,2,2,32,1
102348,1,1,1,1,2,2,2,2,2,61,1
102350,1,1,1,1,1,1,1,1,1,23,1
102362,1,1,1,1,1,2,1,2,1,48,1
102376,1,1,1,1,2,2,2,2,2,64,1
102411,1,1,1,1,2,2,2,2,2,53,1
102482,1,1,1,1,2,2,2,2,2,32,1
102516,1,1,1,1,2,2,1,2,2,36,1
102553,1,1,1,1,2,2,2,2,2,30,1
102561,1,1,1,1,1,1,1,2,2,35,1
102584,1,1,1,1,2,1,1,2,2,53,1
102595,1,1,1,1,1,2,2,2,1,62,1
102601,1,1,1,1,2,1,2,2,2,40,1
102655,1,1,1,1,1,1,1,2,1,99,1
102658,1,1,1,1,1,2,2,2,2,39,1
102727,1,1,1,1,1,2,1,2,1,50,1
102777,1,1,1,1,1,2,2,2,2,41,1
